Incident Number,Incident Type,Level,Occurred On,Location,Facility,Informed By
VW09-327,Media - Incident likely to attract media attention,Major,6/10/09 12:05,Chester Hill Diagnostics,GSL-Villawood,
VW09-328,Use of instruments of restraint,Minor,8/10/09 8:45,Stage 1 Airlock,GSL-Villawood,
VW09-337,Abusive / Aggressive behaviour - by client,Minor,17/10/09 5:55,Stage 3 compound,GSL-Villawood,
VW09-338,Assault - allegation / suspicion - Staff on client,Major,16/10/09 9:00,Property,GSL-Villawood,
VW09-339,Abusive / Aggressive behaviour - by client,Minor,21/10/09 7:40,Manning Building Stage 2,GSL-Villawood,
VW09-340,Disturbance - Minor,Minor,22/10/09 11:00,Bravo 1 office Westbridge Centre,GSL-Villawood,
VW09-341,Disturbance - Minor,Minor,22/10/09 6:06,Stage 2 Mess,GSL-Villawood,
VW09-342,Emergency medical attention - off site,Major,22/10/09 8:25,Stage 2 property,GSL-Villawood,
VW09-343,Emergency medical attention - off site,Major,24/10/09 8:10,Stage 2 Volleyball court,GSL-Villawood,
VW09-334,Emergency medical attention - off site,Major,12/10/09 6:30,Stage 2 Villawood IDC,GSL-Villawood,
VW09-335,Use of instruments of restraint,Minor,12/10/09 4:22,From inside Vehicle TIS 055 at Fairfield.,GSL-Villawood,
VW09-336,Assault - allegation / suspicion - Client on client,Major,14/10/09 7:45,Dorm 3 Stage 1.,GSL-Villawood,
VW09-344,Emergency medical attention - off site,Major,25/10/09 9:15,Stage 1 Annex,GSL-Villawood,
VW09-345,Use of instruments of restraint,Minor,25/10/09 9:29,Stage 1,GSL-Villawood,
VW09-346,Assault - occasioning grievous bodily harm - Client on client,Critical,26/10/09 1:10,Stage 3 compound Nepean Building units 1 and 2,GSL-Villawood,
VW09-300,Prohibited article - other - found,Minor,31/08/09 11:15,Stage 3 Nepean 2 B,GSL-Villawood,
VW09-301,Transfer of client - To alternate place of detention [excluding hospital],Minor,31/08/09 3:40,BANKSTOWN HOSPITAL,GSL-Villawood,
VW09-294,Abusive / Aggressive behaviour - by client,Minor,25/08/09 11:40,Stage 3 Field,GSL-Villawood,
VW09-297,Use of instruments of restraint,Minor,28/08/09 8:41,In Van outside Doctors room Liverpool,GSL-Villawood,
VW09-298,Voluntary starvation - Under 24 hours,Minor,28/08/09 11:25,Stage 1 Obs room.2,GSL-Villawood,
VW09-292,Removal - Aborted,Major,23/08/09 8:00,SKSA holding cells,GSL-Villawood,
VW09-293,Emergency medical attention - off site,Major,24/08/09 3:40,Sydney Eye Hospital,GSL-Villawood,
VW09-295,Prohibited article - other - found,Minor,26/08/09 5:00,Stage 3 Macquaire Building room 11A,GSL-Villawood,
VW09-296,Transfer of client - To alternate place of detention [excluding hospital],Minor,26/08/09 7:00,Rydges Hotel Bass Hill,GSL-Villawood,
VW09-305,Transfer of client - To alternate place of detention [excluding hospital],Minor,4/09/09 9:22,Rydges Hotel Bass Hill,GSL-Villawood,
VW09-306,Disturbance - Minor,Minor,5/09/09 11:00,Outside Fishbowl in Stage.1.,GSL-Villawood,
VW09-307,Assault - allegation / suspicion - Client on client,Major,9/09/09 11:45,Lima Compound Tweed unit 3A,GSL-Villawood,
VW09-299,Transfer of client - To alternate place of detention [excluding hospital],Minor,29/08/09 1:40,Rydges Hotel Bass Hill,GSL-Villawood,
VW09-302,Emergency medical attention - off site,Major,2/09/09 3:25,Stage 1 to Bankstown Hospital,GSL-Villawood,
VW09-303,Emergency medical attention - off site,Major,3/09/09 4:26,Stage Two Officers' Station.,GSL-Villawood,
VW09-304,Use of instruments of restraint,Minor,4/09/09 9:29,In Van outside JMT Court SYDNEY,GSL-Villawood,
VW09-274,Voluntary starvation - Over 24 hours,Major,4/08/09 3:30,Stage three,GSL-Villawood,
VW09-278,Disturbance - Minor,Minor,5/08/09 5:00,Stage 3 compound Clarence 2a,GSL-Villawood,
VW09-279,Use of instruments of restraint,Minor,6/08/09 5:10,Stage 2 Property,GSL-Villawood,
VW09-277,Use of instruments of restraint,Minor,5/08/09 10:00,Stage 1 airloc,GSL-Villawood,
VW09-275,Disturbance - Minor,Minor,5/08/09 9:18,Stage 1 - Dorm 3 - Room B9,GSL-Villawood,
VW09-276,Use of instruments of restraint,Minor,5/08/09 9:15,Escort vehical William St Sydney,GSL-Villawood,
VW09-280,Damage to facility - Less serious,Minor,9/08/09 10:15,Stage 2 computer room.,GSL-Villawood,
VW09-281,Emergency medical attention - off site,Major,10/08/09 5:55,Stage 2 Mess,GSL-Villawood,
VW09-282,"Prohibited article - Prohibited substance, suspected",Major,11/08/09 9:00,Stage 3 Clarence 1B,GSL-Villawood,
VW09-283,Prohibited article - other - found,Minor,11/08/09 4:00,Stage 3 compound,GSL-Villawood,
VW09-284,Use of instruments of restraint,Minor,13/08/09 9:14,Van outside JMT Court Sydney,GSL-Villawood,
VW09-290,Disturbance - Minor,Minor,19/08/09 10:18,The Gymnasium,GSL-Villawood,
VW09-291,Use of instruments of restraint,Minor,21/08/09 7:20,SKSA Dock 4,GSL-Villawood,
VW09-285,Use of instruments of restraint,Minor,17/08/09 9:35,In van outside JMT Court 88 Goulburn St Sydney,GSL-Villawood,
VW09-286,Use of instruments of restraint,Minor,17/08/09 9:55,Van Basement 81 Clarence St Sydney,GSL-Villawood,
VW09-287,Disturbance - Minor,Minor,18/08/09 5:10,Visits area Stage 2 - Children's Play area,GSL-Villawood,
VW09-288,Notification by State / Territory authorities,Minor,18/08/09 11:25,Dorm 3 T6,GSL-Villawood,
VW09-289,Emergency medical attention - off site,Major,19/08/09 8:00,Infront of Macquarie building room number 8,GSL-Villawood,
VW09-263,Media - Incident likely to attract media attention,Major,25/07/09 6:30,Stage 2 visits area,GSL-Villawood,
VW09-259,Use of instruments of restraint,Minor,23/07/09 10:30,RRT Clarence St Sydney,GSL-Villawood,
VW09-260,Use of instruments of restraint,Minor,23/07/09 12:15,Stage 1,GSL-Villawood,
VW09-261,Transfer of client - To alternate place of detention [excluding hospital],Minor,23/07/09 9:00,RYDGES Hotel Bass Hill,GSL-Villawood,
VW09-262,Use of instruments of restraint,Minor,24/07/09 9:15,VIDC property,GSL-Villawood,
VW09-255,Emergency medical attention - off site,Major,21/07/09 4:30,Medical stage 2,GSL-Villawood,
VW09-256,Demonstration - Outside Facility,Critical,21/07/09 6:56,Stage 2 Westbridge entrance moving to Birmingham Avenue entrance,GSL-Villawood,
VW09-257,Media - Presence at facility,Major,21/07/09 6:56,Birmingham Avenue Entry,GSL-Villawood,
VW09-258,Use of instruments of restraint,Minor,22/07/09 9:16,Property Office Stage 2.,GSL-Villawood,
VW09-265,Transfer of client - To alternate place of detention [excluding hospital],Minor,28/07/09 11:40,"SKSA to Rydges Hotel, Bass Hill.",GSL-Villawood,
VW09-266,Use of instruments of restraint,Minor,29/07/09 3:11,Outside Sports Focus Liverpool.,GSL-Villawood,
VW09-268,Use of instruments of restraint,Minor,31/07/09 11:00,Eldridge Road Bankstown,GSL-Villawood,
VW09-269,Abusive / Aggressive behaviour - by client,Minor,31/07/09 10:00,Stage 3 office,GSL-Villawood,
VW09-270,Prohibited article - other - found,Minor,1/08/09 10:35,Stage 3 clarence 8b,GSL-Villawood,
VW09-271,Prohibited article - other - found,Minor,1/08/09 2:30,Stage 1,GSL-Villawood,
VW09-272,Transfer of client - To alternate place of detention [excluding hospital],Minor,1/08/09 11:50,SKSA to Rydges Hotel Bass Hill,GSL-Villawood,
VW09-273,Voluntary starvation - Under 24 hours,Minor,3/08/09 3:00,Stage 3 office,GSL-Villawood,
VW09-267,Abusive / Aggressive behaviour - by client,Minor,30/07/09 12:10,Stage 3 office,GSL-Villawood,
VW09-264,Use of instruments of restraint,Minor,28/07/09 9:45,Outside Rayscan Imaging Fairfield,GSL-Villawood,
VW09-244,Use of instruments of restraint,Minor,9/07/09 9:18,Stage 1 Airlock,GSL-Villawood,
VW09-245,Use of instruments of restraint,Minor,9/07/09 7:42,In Van Parramatta,GSL-Villawood,
VW09-246,Emergency medical attention - off site,Major,10/07/09 4:05,Stage 2,GSL-Villawood,
VW09-237,Use of instruments of restraint,Minor,2/07/09 12:55,Escort Vehicle TIS 056 in GUNGADAGAI.,GSL-Villawood,
VW09-238,Use of instruments of restraint,Minor,2/07/09 9:30,"Romanian Consulate Elizabeth St, Elizabeth Bay Sydney NSW",GSL-Villawood,
VW09-239,Prohibited article - other - found,Minor,3/07/09 1:35,Stage 3 Nepean 7 A,GSL-Villawood,
VW09-240,Transfer of client - To alternate place of detention [excluding hospital],Minor,4/07/09 6:00,Rydges Hotel Bass Hill,GSL-Villawood,
VW09-241,Transfer of client - To alternate place of detention [excluding hospital],Minor,4/07/09 7:30,Rydges Hotel Bass Hill,GSL-Villawood,
VW09-242,Self Harm - Actual,Critical,6/07/09 12:00,Medical clinic Stage 2,GSL-Villawood,
VW09-243,Emergency medical attention - off site,Major,6/07/09 3:57,Stage 1,GSL-Villawood,
VW09-252,Emergency medical attention - on site,Major,17/07/09 7:00,Stage 2 office,GSL-Villawood,
VW09-253,Demonstration - Inside Facility,Major,19/07/09 10:10,Stage 2,GSL-Villawood,
VW09-254,Demonstration - Inside Facility,Major,20/07/09 8:32,Stage 2 compound - Front of Shoalhaven building.,GSL-Villawood,
VW09-248,Transfer of client - To alternate place of detention [excluding hospital],Minor,12/07/09 6:00,"SKSA to Quest Apartments, Rose Hill",GSL-Villawood,
VW09-249,Use of instruments of restraint,Minor,14/07/09 9:20,Refugee Review Tribunal Car Park. Sydney,GSL-Villawood,
VW09-247,Transfer of client - To alternate place of detention [excluding hospital],Minor,12/07/09 6:20,SKSA to Rydges Hotel Bass Hill.,GSL-Villawood,
VW09-250,Abusive / Aggressive behaviour - by client,Minor,15/07/09 5:50,Stage 2 Mess area,GSL-Villawood,
VW09-251,Prohibited article - other - found,Minor,16/07/09 12:00,Stage 1 - Dorm 1- Communal Showers,GSL-Villawood,
VW09-232,Emergency medical attention - off site,Major,27/06/09 9:30,stage 3 Macquarie Unit 10a,GSL-Villawood,
VW09-236,Use of instruments of restraint,Minor,1/07/09 9:05,Federal Court. John Maddison Tower Building Sydney.,GSL-Villawood,
VW09-233,Use of instruments of restraint,Minor,30/06/09 9:15,Outside Parramatta Local Court in Escort Vehicle.,GSL-Villawood,
VW09-234,Use of instruments of restraint,Minor,1/07/09 10:55,Stage1 Air Lock,GSL-Villawood,
VW09-231,Use of instruments of restraint,Minor,26/06/09 3:00,Stage 1 'airlock',GSL-Villawood,
VW09-230,Use of instruments of restraint,Minor,25/06/09 7:16,"Stage 2, Westbridge Centyre, Property Office",GSL-Villawood,
VW09-229,Use of instruments of restraint,Minor,25/06/09 10:38,Stage 1 'airlock',GSL-Villawood,
VW09-227,Use of instruments of restraint,Minor,22/06/09 7:40,Stage 1 Airlock,GSL-Villawood,
VW09-228,Abusive / Aggressive behaviour - by client,Minor,22/06/09 5:20,Medical clinic Main compound,GSL-Villawood,
VW09-225,Damage to facility - Less serious,Minor,19/06/09 12:15,Lachlan Building 5,GSL-Villawood,
VW09-226,Emergency medical attention - off site,Major,19/06/09 9:45,Stage 1,GSL-Villawood,
VW09-224,Use of instruments of restraint,Minor,17/06/09 9:53,Property Office Stage 2,GSL-Villawood,
VW09-219,Use of instruments of restraint,Minor,11/06/09 9:10,"Stage 2, Westbridge Centre, Property Office",GSL-Villawood,
VW09-220,Use of instruments of restraint,Minor,11/06/09 7:15,Stage 2 Property room,GSL-Villawood,
VW09-221,Emergency medical attention - off site,Major,12/06/09 3:30,Stage 2 Medical clinic,GSL-Villawood,
VW09-222,Systems Failure,Major,12/06/09 7:30,Stage 3 Nepean Building Unit 4,GSL-Villawood,
VW09-223,Abusive / Aggressive behaviour - by client,Minor,13/06/09 7:10,Stage 2 Medical,GSL-Villawood,
VW09-217,Use of instruments of restraint,Minor,9/06/09 8:40,Stage 2 Medical Centre.,GSL-Villawood,
VW09-218,Abusive / Aggressive behaviour - by client,Minor,9/06/09 1:20,Stage 1 Dorm 3 T Block Common Area,GSL-Villawood,
VW09-201,Use of instruments of restraint,Minor,30/05/09 2:55,Stage 1 Airlock Domestic Terminal 2 Carpark,GSL-Villawood,
VW09-202,Use of instruments of restraint,Minor,30/05/09 4:30,Stage One airlock,GSL-Villawood,
VW09-212,Emergency medical attention - off site,Major,4/06/09 1:00,Stage 1,GSL-Villawood,
VW09-213,Use of instruments of restraint,Minor,4/06/09 12:30,Stage 1 Airlock,GSL-Villawood,
VW09-214,Self harm - Attempted,Major,5/06/09 12:25,Obs room 2 stage 1,GSL-Villawood,
VW09-215,Disturbance - Minor,Minor,5/06/09 9:10,Stage One,GSL-Villawood,
VW09-216,Disturbance - Minor,Minor,5/06/09 2:23,Stage 2 shop and stage 3 compound,GSL-Villawood,
VW09-203,Emergency medical attention - off site,Major,31/05/09 2:05,"Stage 2, Lachlan 14A",GSL-Villawood,
VW09-204,Transfer of client - To alternate place of detention [excluding hospital],Minor,31/05/09 9:45,VIDC,GSL-Villawood,
VW09-205,Emergency medical attention - off site,Major,1/06/09 10:29,Stage 2,GSL-Villawood,
VW09-206,Transfer of client - To alternate place of detention [excluding hospital],Minor,1/06/09 6:00,Rydges Hotel Bass Hill,GSL-Villawood,
VW09-207,Emergency medical attention - on site,Major,1/06/09 10:30,Stage 2 office,GSL-Villawood,
VW09-208,Disturbance - Major,Major,2/06/09 4:09,Dorm 3,GSL-Villawood,
VW09-209,Emergency medical attention - off site,Major,2/06/09 7:20,Stage One Airlock,GSL-Villawood,
VW09-210,Use of instruments of restraint,Minor,2/06/09 7:09,Stage 1 Airlock,GSL-Villawood,
VW09-211,Removal - Aborted,Major,2/06/09 11:10,Liverpool Hospital,GSL-Villawood,
VW09-170,Use of instruments of restraint,Minor,11/05/09 2:32,Stage 1 Airlock.,GSL-Villawood,
VW09-166,Disturbance - Minor,Minor,9/05/09 3:20,Stage 2 Visits - golf gate,GSL-Villawood,
VW09-167,Prohibited article - other - found,Minor,9/05/09 2:00,"Clarence 1 a, Stage 3 Compound.",GSL-Villawood,
VW09-168,Removal - Aborted,Major,10/05/09 9:30,SKSA,GSL-Villawood,
VW09-169,Prohibited article - other - brought in by visitor,Minor,10/05/09 4:24,Stage 2 golf area,GSL-Villawood,
VW09-171,Demonstration - Inside Facility,Major,12/05/09 1:00,Palisade fencing stage 2 & 3 boundary,GSL-Villawood,
VW09-172,"Damage to facility - Serious, including fire",Critical,12/05/09 5:12,Fishbowl area stage 1,GSL-Villawood,
VW09-173,Demonstration - Outside Facility,Critical,12/05/09 7:11,Miowera Rd entrance to the VIDC,GSL-Villawood,
VW09-174,"Damage to facility - Serious, including fire",Critical,14/05/09 1:51,Stage 2 Compound Computer Room,GSL-Villawood,
VW09-175,Emergency medical attention - off site,Major,14/05/09 1:00,Stage 2,GSL-Villawood,
VW09-176,Use of force - By staff,Major,14/05/09 12:15,Stage 2,GSL-Villawood,
VW09-177,Assault - allegation / suspicion - Client on client,Major,14/05/09 12:20,Stage 3 OUT SIDE MACQARIE building,GSL-Villawood,
VW09-178,Use of instruments of restraint,Minor,14/05/09 8:39,Stage 1 'airlock',GSL-Villawood,
VW09-179,"Damage to facility - Serious, including fire",Critical,14/05/09 4:53,Stage 3 Neapean bulding room 8,GSL-Villawood,
VW09-180,Use of instruments of restraint,Minor,14/05/09 7:15,Stage 2 property area,GSL-Villawood,
VW09-181,Removal - Aborted,Major,15/05/09 10:30,SKSA,GSL-Villawood,
VW09-182,Prohibited article - other - found,Minor,15/05/09 11:45,Stage One Office.,GSL-Villawood,
VW09-188,"Accident - To staff, serious",Critical,19/05/09 12:25,Stage 1 Construction Zone,GSL-Villawood,
VW09-189,Emergency medical attention - off site,Major,19/05/09 2:00,Stage 2 Medical compound,GSL-Villawood,
VW09-190,Emergency medical attention - off site,Major,19/05/09 2:20,Stage two medical compound,GSL-Villawood,
VW09-183,Marriage,Minor,17/05/09 1:30,VIDC- SIRH,GSL-Villawood,
VW09-184,Disturbance - Minor,Minor,18/05/09 9:45,Medical stage 2,GSL-Villawood,
VW09-185,Emergency medical attention - off site,Major,19/05/09 3:25,Stage 1 Observation Room 1,GSL-Villawood,
VW09-186,Disturbance - Minor,Minor,19/05/09 7:50,Fairfield Hospital Accident and Emergency Department,GSL-Villawood,
VW09-187,Use of force - By staff,Major,19/05/09 7:52,"Fairfield Hospital, Accident and Emergency Department",GSL-Villawood,
VW09-191,Emergency medical attention - off site,Major,19/05/09 10:20,Stage 2 office,GSL-Villawood,
VW09-192,Emergency medical attention - off site,Major,21/05/09 10:30,Stage 2 Medical Centre,GSL-Villawood,
VW09-193,Emergency medical attention - off site,Major,21/05/09 1:35,Stage 1,GSL-Villawood,
VW09-195,Use of instruments of restraint,Minor,26/05/09 8:30,Stage 1 Airlock,GSL-Villawood,
VW09-194,Use of instruments of restraint,Minor,21/05/09 1:31,Stage 1 Airlock,GSL-Villawood,
VW09-198,Use of instruments of restraint,Minor,27/05/09 2:55,Stage 1 'airlock',GSL-Villawood,
VW09-196,Use of instruments of restraint,Minor,26/05/09 7:00,Stage 2 medical compound,GSL-Villawood,
VW09-197,Emergency medical attention - off site,Major,27/05/09 9:00,Lima Compound,GSL-Villawood,
VW09-200,Emergency medical attention - off site,Major,30/05/09 2:55,Stage 1 (fishbowl) Officer's station.,GSL-Villawood,
VW09-199,Use of instruments of restraint,Minor,28/05/09 7:25,Property Office Stage 2.,GSL-Villawood,
VW09-151,Use of instruments of restraint,Minor,30/04/09 7:35,Stage 2 Property Office.,GSL-Villawood,
VW09-152,Use of instruments of restraint,Minor,1/05/09 2:40,Stage 1 'airlock',GSL-Villawood,
VW09-153,Use of instruments of restraint,Minor,1/05/09 12:35,Stage 1 'Airlock',GSL-Villawood,
VW09-154,"Damage to facility - Serious, including fire",Critical,2/05/09 3:00,Dorm 3 stage 1,GSL-Villawood,
VW09-155,Notification to State / Territory authorities,Minor,2/05/09 7:00,Stage 2 outer Westbridge area,GSL-Villawood,
VW09-149,Self Harm - Threatened,Major,30/04/09 11:55,stg one obs room 3,GSL-Villawood,
VW09-150,Use of instruments of restraint,Minor,30/04/09 12:50,"Stage 2, Westbridge Centre, Property Office",GSL-Villawood,
VW09-146,Use of instruments of restraint,Minor,28/04/09 6:17,Stage 2 Property,GSL-Villawood,
VW09-147,Use of instruments of restraint,Minor,29/04/09 6:30,"Stage 2, Westbridge Centre, Property Office",GSL-Villawood,
VW09-148,Use of instruments of restraint,Minor,29/04/09 8:45,"Stage2, Westbridge Centre, Property Office",GSL-Villawood,
VW09-157,Emergency medical attention - off site,Major,5/05/09 6:15,"Bankstown Hospital, Bankstown.",GSL-Villawood,
VW09-158,Use of instruments of restraint,Minor,5/05/09 1:40,Stage 1 airlock,GSL-Villawood,
VW09-159,Assault - not occasioning bodily harm - Client on client,Minor,5/05/09 6:06,Stage 2 Mess Room,GSL-Villawood,
VW09-156,Use of instruments of restraint,Minor,4/05/09 12:04,"Stage 2, Westbridge Centre, Property Office",GSL-Villawood,
VW09-164,Systems Failure,Major,7/05/09 1:00,VIDC,GSL-Villawood,
VW09-165,Use of instruments of restraint,Minor,7/05/09 2:10,Stage 1 Airlock,GSL-Villawood,
VW09-160,Systems Failure,Major,6/05/09 7:00,Westbridge Centre x-ray machine,GSL-Villawood,
VW09-161,Disturbance - Major,Major,6/05/09 1:01,Stage 2 Mess,GSL-Villawood,
VW09-162,Emergency medical attention - off site,Major,6/05/09 1:27,Stage 2 Mess,GSL-Villawood,
VW09-163,Abusive / Aggressive behaviour - by client,Minor,6/05/09 1:30,Stage 3 mess,GSL-Villawood,
VW09-139,Prohibited article - other - found,Minor,20/04/09 10:30,Stage 3 Clarence 4a,GSL-Villawood,
VW09-142,Emergency medical attention - off site,Major,27/04/09 3:10,Dorm 3 Stage 1.,GSL-Villawood,
VW09-143,Assault - allegation / suspicion - Client on client,Major,27/04/09 2:01,Dorm 3 stage 1,GSL-Villawood,
VW09-144,Use of instruments of restraint,Minor,27/04/09 3:10,Stage 2 Property Office.,GSL-Villawood,
VW09-145,Emergency medical attention - on site,Major,27/04/09 7:12,Stage 2,GSL-Villawood,
VW09-140,Emergency medical attention - off site,Major,22/04/09 12:30,Stage 2 medical centre,GSL-Villawood,
VW09-141,Emergency medical attention - off site,Major,24/04/09 2:00,Medical reccommendation,GSL-Villawood,
VW09-134,Emergency medical attention - off site,Major,18/04/09 6:10,Stage 2 infront of Namoi Building.,GSL-Villawood,
VW09-135,Emergency medical attention - off site,Major,19/04/09 12:00,Stage 2 Field,GSL-Villawood,
VW09-136,Emergency medical attention - off site,Major,19/04/09 8:00,Stage 1 Medical room,GSL-Villawood,
VW09-137,Transfer of client - To alternate place of detention [excluding hospital],Minor,19/04/09 7:48,Rydes Hotel Bass Hill,GSL-Villawood,
VW09-138,Use of instruments of restraint,Minor,19/04/09 8:55,Stage 1 airlock,GSL-Villawood,
VW09-133,Use of instruments of restraint,Minor,17/04/09 9:22,Stage 1 'airlock',GSL-Villawood,
VW09-123,Use of instruments of restraint,Minor,14/04/09 11:40,Airlock Stage 1,GSL-Villawood,
VW09-124,Removal - Aborted,Major,15/04/09 10:20,SKSA Holding Rooms,GSL-Villawood,
VW09-125,Use of instruments of restraint,Minor,14/04/09 6:33,Stage 2 Property,GSL-Villawood,
VW09-132,Abusive / Aggressive behaviour - by client,Minor,17/04/09 1:40,Fishbowl Stage 1,GSL-Villawood,
VW09-118,Use of instruments of restraint,Minor,7/04/09 5:50,stage 2 property,GSL-Villawood,
VW09-126,"Damage to facility - Serious, including fire",Critical,16/04/09 12:44,Stage 1 - Contractors Skip Bin Outside Visits.,GSL-Villawood,
VW09-130,Transfer of client - To alternate place of detention [excluding hospital],Minor,16/04/09 9:10,Lansvale Hotel & Resort Hume Highway Lansvale,GSL-Villawood,
VW09-131,Use of instruments of restraint,Minor,16/04/09 7:05,VIDC Property Room 1,GSL-Villawood,
VW09-101,Use of instruments of restraint,Minor,31/03/09 7:40,Stage 1 Airlock,GSL-Villawood,
VW09-102,Use of instruments of restraint,Minor,31/03/09 7:27,Stage 2 Property area.,GSL-Villawood,
VW09-103,Use of instruments of restraint,Minor,1/04/09 8:30,"Stage 2, Westbridge Centre, Property Office",GSL-Villawood,
VW09-104,"Accident - To client, minor",Minor,1/04/09 6:05,Stage 1 Dorm 1.,GSL-Villawood,
VW09-105,Use of instruments of restraint,Minor,2/04/09 9:30,"Stage 2, Westbridge Centre, Property Office",GSL-Villawood,
VW09-106,Use of instruments of restraint,Minor,2/04/09 5:52,Stage 1 'airlock',GSL-Villawood,
VW09-96,Use of instruments of restraint,Minor,27/03/09 8:20,Stage 1 air lock,GSL-Villawood,
VW09-97,Use of instruments of restraint,Minor,27/03/09 2:50,Stage 2 Property cell,GSL-Villawood,
VW09-98,Disturbance - Minor,Minor,28/03/09 11:00,Stage 3 Office area,GSL-Villawood,
VW09-99,Emergency medical attention - on site,Major,28/03/09 1:20,Stage two MESS,GSL-Villawood,
VW09-100,Property - Missing,Minor,28/03/09 9:55,Coffs Harbour Police Station,GSL-Villawood,
VW09-107,Emergency medical attention - off site,Major,2/04/09 6:15,Stage 1,GSL-Villawood,
VW09-108,Use of instruments of restraint,Minor,2/04/09 8:30,Stage.1.,GSL-Villawood,
VW09-109,Use of instruments of restraint,Minor,2/04/09 7:30,Stage 2 property office and Lifelinbe Building Parramatta,GSL-Villawood,
VW09-110,Media - Presence at facility,Major,3/04/09 6:27,Lima Compound,GSL-Villawood,
VW09-111,Removal - Aborted,Major,3/04/09 1:55,SKSA Holding Rooms,GSL-Villawood,
VW09-112,Escape from an immigration detention facility (includes mass escape) - Successful,Critical,4/04/09 11:45,"Unit 3, SIRH Villawood",GSL-Villawood,
VW09-113,Removal - Aborted,Major,4/04/09 10:36,Holding rooms SKSA,GSL-Villawood,
VW09-114,"Accident - To staff, minor",Minor,4/04/09 7:55,walkway from stage 3 to 2,GSL-Villawood,
VW09-115,"Damage to facility - Serious, including fire",Critical,4/04/09 11:05,Caged area rear of Dorm 1 in Stage.1,GSL-Villawood,
VW09-116,Emergency medical attention - off site,Major,5/04/09 2:50,Stage 3,GSL-Villawood,
VW09-117,Damage to facility - Less serious,Minor,5/04/09 9:10,Stage 1 dorm 3 T12,GSL-Villawood,
VW09-120,Damage to facility - Less serious,Minor,9/04/09 5:00,Stage 1 Zone 7 Alarm,GSL-Villawood,
VW09-121,Use of instruments of restraint,Minor,9/04/09 7:23,Stage 1 Airlock,GSL-Villawood,
VW09-122,Use of instruments of restraint,Minor,9/04/09 7:15,Stage 2 Property,GSL-Villawood,
VW09-119,Emergency medical attention - off site,Major,8/04/09 6:30,Medical Centre,GSL-Villawood,
VW09-59,"Accident - To client, minor",Minor,23/02/09 9:30,Stage 3 office,GSL-Villawood,
VW09-60,Use of instruments of restraint,Minor,24/02/09 10:25,Property office Stage 1,GSL-Villawood,
VW09-62,Use of instruments of restraint,Minor,25/02/09 3:20,Stage 2 Property Office,GSL-Villawood,
VW09-63,Emergency medical attention - on site,Major,26/02/09 10:35,LIMA COMPOUND STAGE 2,GSL-Villawood,
VW09-64,Use of instruments of restraint,Minor,26/02/09 11:50,Stage 1 Airlock,GSL-Villawood,
VW09-68,Media - Incident likely to attract media attention,Major,2/03/09 9:45,VIDC entrance Gate at Birmingham ave,GSL-Villawood,
VW09-69,Systems Failure,Major,2/03/09 12:15,Stage 1,GSL-Villawood,
VW09-70,Use of instruments of restraint,Minor,2/03/09 1:20,Stage 1 airlock,GSL-Villawood,
VW09-67,Emergency medical attention - off site,Major,28/02/09 11:20,Stage two medical.,GSL-Villawood,
VW09-66,Use of instruments of restraint,Minor,27/02/09 8:08,Stage 1 Airlock,GSL-Villawood,
VW09-76,Emergency medical attention - off site,Major,12/03/09 11:45,Stage 3,GSL-Villawood,
VW09-75,Damage to facility - Less serious,Minor,11/03/09 9:20,Back of stage 2 mess.Anthony Schuman,GSL-Villawood,
VW09-74,Assault - occasioning actual bodily harm - Client on staff,Major,6/03/09 10:30,"SKSA, gate 57, flight CA176",GSL-Villawood,
VW09-65,Prohibited article - other - found,Minor,26/02/09 9:30,Stage 2,GSL-Villawood,
VW09-73,Systems Failure,Major,6/03/09 12:15,VIDC CENTRE.,GSL-Villawood,
VW09-71,Voluntary starvation - Under 24 hours,Minor,5/03/09 1:10,Stage 1 Dorm 2,GSL-Villawood,
VW09-72,Use of instruments of restraint,Minor,5/03/09 7:30,Stage 2 property office,GSL-Villawood,
VW09-93,"Damage to facility - Serious, including fire",Critical,26/03/09 3:10,Stage one fishbowl area,GSL-Villawood,
VW09-94,Self Harm - Threatened,Major,27/03/09 4:30,Stage 3 infront of Officers' station.,GSL-Villawood,
VW09-95,Emergency medical attention - off site,Major,27/03/09 6:25,Stage 2 Medical,GSL-Villawood,
VW09-89,Damage to facility - Less serious,Minor,24/03/09 6:45,Stage 1 outside fishbowl area,GSL-Villawood,
VW09-90,Systems Failure,Major,24/03/09 7:55,Stage 1 Office,GSL-Villawood,
VW09-91,Contamination of facility,Major,25/03/09 3:00,Stage 2 shop.,GSL-Villawood,
VW09-92,Security keys unaccounted for or tampered with,Major,25/03/09 7:00,stage 2 Westbridge centre,GSL-Villawood,
VW09-87,Systems Failure,Major,22/03/09 5:00,Villawood Detention Centre,GSL-Villawood,
VW09-88,Use of force - By staff,Major,23/03/09 12:57,Stage 1 Computer Room,GSL-Villawood,
VW09-83,Prohibited article - other - found,Minor,18/03/09 11:30,Stage 1 all areas,GSL-Villawood,
VW09-85,Use of instruments of restraint,Minor,19/03/09 7:12,Stage 2 property area,GSL-Villawood,
VW09-86,Disturbance - Minor,Minor,20/03/09 12:04,Stage 1 Observation Room No 3,GSL-Villawood,
VW09-84,"Accident - To staff, minor",Minor,19/03/09 3:00,Stage 1 - Cabinets outside of staff kitchen,GSL-Villawood,
