original-location,our-location,date,men,women,children
Sydney Immigration Residential Housing,,21/05/10,15,4,6
Perth Immigration Residential Housing,,21/05/10,2,4,12
Port Augusta Immigration Residential Housing,,21/05/10,,,60
Brisbane Immigration Transit Accommodation,,21/05/10,13,16,27
Melbourne Immigration Transit Accommodation,,21/05/10,5,,35
Community Detention 2 (Mainland),,21/05/10,11,2,8
Community Detention (Christmas Island),,21/05/10,1,1,1
"Alternative Temporary Detention in the Community
3 (Mainland)",,21/05/10,54,53,97
"Alternative Temporary Detention in the Community
(Christmas Island)",,21/05/10,274,75,206
,,,,,
Villawood IDC,,14/05/10,242,22,
Northern IDC (Darwin),,14/05/10,416,,
Maribyrnong IDC,,14/05/10,49,17,
Perth IDC,,14/05/10,43,2,
Christmas Island IDC,,14/05/10,1723,,
Sydney Immigration Residential Housing,,14/05/10,15,4,6
Perth Immigration Residential Housing,,14/05/10,2,4,12
Port Augusta Immigration Residential Housing,,14/05/10,,,60
Brisbane Immigration Transit Accommodation,,14/05/10,13,16,25
Melbourne Immigration Transit Accommodation,,14/05/10,9,1,41
Community Detention 2 (Mainland),,14/05/10,10,1,4
Community Detention (Christmas Island),,14/05/10,1,1,1
"Alternative Temporary Detention in the Community
3 (Mainland)",,14/05/10,53,34,78
"Alternative Temporary Detention in the Community
(Christmas Island)",,14/05/10,276,90,200
,,,,,
Villawood IDC,,7/05/10,238,22,
Northern IDC (Darwin),,7/05/10,413,,
Maribyrnong IDC,,7/05/10,47,18,
Perth IDC,,7/05/10,41,,
Christmas Island IDC,,7/05/10,1549,,
Sydney Immigration Residential Housing,,7/05/10,15,3,5
Perth Immigration Residential Housing,,7/05/10,2,4,12
Port Augusta Immigration Residential Housing,,7/05/10,,,60
Brisbane Immigration Transit Accommodation,,7/05/10,14,15,26
Melbourne Immigration Transit Accommodation,,7/05/10,8,1,44
Community Detention 2 (Mainland),,7/05/10,10,1,4
Community Detention (Christmas Island),,7/05/10,1,1,1
"Alternative Temporary Detention in the Community
3 (Mainland)",,7/05/10,43,22,58
"Alternative Temporary Detention in the Community
(Christmas Island)",,7/05/10,273,82,176
,,,,,
Villawood IDC,,23/04/10,244,22,
Northern IDC (Darwin),,23/04/10,349,,
Maribyrnong IDC,,23/04/10,48,15,
Perth IDC,,23/04/10,44,,
Christmas Island IDC,,23/04/10,1464,,
Sydney Immigration Residential Housing,,23/04/10,14,3,5
Perth Immigration Residential Housing,,23/04/10,2,4,12
Port Augusta Immigration Residential Housing,,23/04/10,,,60
Brisbane Immigration Transit Accommodation,,23/04/10,16,20,28
Melbourne Immigration Transit Accommodation,,23/04/10,7,1,46
Community Detention 2 (Mainland),,23/04/10,10,1,4
Community Detention (Christmas Island),,23/04/10,2,1,3
"Alternative Temporary Detention in the Community
3 (Mainland)",,23/04/10,26,,20
"Alternative Temporary Detention in the Community
(Christmas Island)",,23/04/10,274,95,164
,,,,,
Villawood IDC,,16/04/10,246,21,
Northern IDC (Darwin),,16/04/10,86,,
Maribyrnong IDC,,16/04/10,43,15,
Perth IDC,,16/04/10,50,2,
Christmas Island IDC,,16/04/10,1697,,
Sydney Immigration Residential Housing,,16/04/10,14,2,4
Perth Immigration Residential Housing,,16/04/10,4,3,12
Brisbane Immigration Transit Accommodation,,16/04/10,10,10,33
Melbourne Immigration Transit Accommodation,,16/04/10,7,7,31
Community Detention 2 (Mainland),,16/04/10,10,,4
Community Detention (Christmas Island),,16/04/10,2,2,3
"Alternative Temporary Detention in the Community
3 (Mainland)",,16/04/10,39,,23
"Alternative Temporary Detention in the Community
(Christmas Island)",,16/04/10,287,94,207
,,,,,
Villawood IDC,,2/04/10,213,20,
Northern IDC (Darwin),,2/04/10,74,,
Maribyrnong IDC,,2/04/10,50,16,
Perth IDC,,2/04/10,47,,
Christmas Island IDC,,2/04/10,1550,,
Sydney Immigration Residential Housing,,2/04/10,14,2,2
Perth Immigration Residential Housing,,2/04/10,4,4,12
Brisbane Immigration Transit Accommodation,,2/04/10,7,9,34
Melbourne Immigration Transit Accommodation,,2/04/10,8,6,36
Community Detention 2 (Mainland),,2/04/10,13,1,6
Community Detention (Christmas Island),,2/04/10,2,2,3
"Alternative Temporary Detention in the Community
3 (Mainland)",,2/04/10,20,1,19
"Alternative Temporary Detention in the Community
(Christmas Island)",,2/04/10,261,90,160
,,,,,
Villawood IDC,,26/03/10,118,17,
Northern IDC (Darwin),,26/03/10,63,,
Maribyrnong IDC,,26/03/10,50,17,
Perth IDC,,26/03/10,49,,
Christmas Island IDC,,26/03/10,1577,,
Sydney Immigration Residential Housing,,26/03/10,15,2,2
Perth Immigration Residential Housing,,26/03/10,5,4,11
Brisbane Immigration Transit Accommodation,,26/03/10,14,16,41
Melbourne Immigration Transit Accommodation,,26/03/10,6,5,43
Community Detention 2 (Mainland),,26/03/10,12,1,6
Community Detention (Christmas Island),,26/03/10,2,2,3
"Alternative Temporary Detention in the Community
3 (Mainland)",,26/03/10,18,1,20
"Alternative Temporary Detention in the Community
(Christmas Island)",,26/03/10,197,68,119
,,,,,
Villawood IDC,,12/03/10,113,19,
Northern IDC (Darwin),,12/03/10,48,,
Maribyrnong IDC,,12/03/10,42,13,
Perth IDC,,12/03/10,30,,
Christmas Island IDC,,12/03/10,1546,,
Sydney Immigration Residential Housing,,12/03/10,15,3,2
Perth Immigration Residential Housing,,12/03/10,8,3,6
Brisbane Immigration Transit Accommodation,,12/03/10,11,14,14
Melbourne Immigration Transit Accommodation,,12/03/10,6,7,30
Community Detention 2 (Mainland),,12/03/10,13,1,6
Community Detention (Christmas Island),,12/03/10,2,2,3
"Alternative Temporary Detention in the Community
3 (Mainland)",,12/03/10,18,,15
"Alternative Temporary Detention in the Community
(Christmas Island)",,12/03/10,118,47,152
,,,,,
Villawood IDC (358),,5/03/10,122,23,
Northern IDC (Darwin) (382),,5/03/10,41,,
Maribyrnong IDC (70),,5/03/10,33,8,
Perth IDC (27),,5/03/10,29,,
Christmas Island IDC (400),,5/03/10,1504,,
Sydney Immigration Residential Housing (34),,5/03/10,16,5,2
Perth Immigration Residential Housing (11),,5/03/10,8,1,3
Brisbane Immigration Transit Accommodation  (29),,5/03/10,8,9,6
"Melbourne Immigration Transit Accommodation
(30)",,5/03/10,3,1,28
Community Detention 2 (Mainland),,5/03/10,13,1,6
Community Detention (Christmas Island),,5/03/10,2,2,3
"Alternative Temporary Detention in the Community
3 (Mainland)",,5/03/10,12,3,14
"Alternative Temporary Detention in the Community
(Christmas Island)",,5/03/10,94,57,146
,,,,,
Villawood IDC (358),,26/02/10,140,31,
Northern IDC (Darwin) (382),,26/02/10,33,,
Maribyrnong IDC (70),,26/02/10,36,10,
Perth IDC (27),,26/02/10,21,2,
Christmas Island IDC (400),,26/02/10,1453,,
Sydney Immigration Residential Housing (34),,26/02/10,17,5,2
Perth Immigration Residential Housing (11),,26/02/10,7,1,5
Brisbane Immigration Transit Accommodation  (29),,26/02/10,4,5,11
"Melbourne Immigration Transit Accommodation
(30)",,26/02/10,4,1,20
Community Detention 2 (Mainland),,26/02/10,13,1,6
Community Detention (Christmas Island),,26/02/10,2,2,3
"Alternative Temporary Detention in the Community
3 (Mainland)",,26/02/10,2,1,8
"Alternative Temporary Detention in the Community
(Christmas Island)",,26/02/10,103,53,154
,,,,,
Villawood IDC (358),,19/02/10,143,29,
Northern IDC (Darwin) (382),,19/02/10,36,,
Maribyrnong IDC (70),,19/02/10,65,18,
Perth IDC (27),,19/02/10,21,3,
Christmas Island IDC (400),,19/02/10,1418,,
Sydney Immigration Residential Housing (34),,19/02/10,18,5,2
Perth Immigration Residential Housing (11),,19/02/10,8,3,2
Brisbane Immigration Transit Accommodation  (29),,19/02/10,4,6,18
"Melbourne Immigration Transit Accommodation
(30)",,19/02/10,5,2,32
Community Detention 2 (Mainland),,19/02/10,13,1,6
Community Detention (Christmas Island),,19/02/10,2,2,3
"Alternative Temporary Detention in the Community
3 (Mainland)",,19/02/10,14,2,13
"Alternative Temporary Detention in the Community
(Christmas Island)",,19/02/10,97,51,143
,,,,,
Villawood IDC (358),,12/02/10,123,14,
Northern IDC (Darwin) (382),,12/02/10,40,,
Maribyrnong IDC (70),,12/02/10,37,8,
Perth IDC (27),,12/02/10,27,3,
Christmas Island IDC (400),,12/02/10,1427,,
Sydney Immigration Residential Housing (34),,12/02/10,20,5,2
Perth Immigration Residential Housing (11),,12/02/10,8,,3
Brisbane Immigration Transit Accommodation  (29),,12/02/10,6,6,18
"Melbourne Immigration Transit Accommodation
(30)",,12/02/10,3,1,15
Community Detention 2 (Mainland),,12/02/10,12,1,6
Community Detention (Christmas Island),,12/02/10,3,2,3
"Alternative Temporary Detention in the Community
3 (Mainland)",,12/02/10,11,1,13
"Alternative Temporary Detention in the Community
(Christmas Island)",,12/02/10,119,51,144
,,,,,
Villawood IDC (358),,29/01/10,131,9,
Northern IDC (Darwin) (382),,29/01/10,43,,
Maribyrnong IDC (70),,29/01/10,48,13,
Perth IDC (27),,29/01/10,28,1,
Christmas Island IDC (400),,29/01/10,1303,,
Sydney Immigration Residential Housing (34),,29/01/10,17,6,3
Perth Immigration Residential Housing (11),,29/01/10,7,2,2
Brisbane Immigration Transit Accommodation  (29),,29/01/10,,2,19
"Melbourne Immigration Transit Accommodation
(30)",,29/01/10,2,,13
Community Detention 2 (Mainland),,29/01/10,11,1,6
Community Detention (Christmas Island),,29/01/10,3,2,3
"Alternative Temporary Detention in the Community
3 (Mainland)",,29/01/10,12,1,15
"Alternative Temporary Detention in the Community
(Christmas Island)",,29/01/10,118,55,112
,,,,,
Villawood IDC (358),,22/01/10,122,9,
Northern IDC (Darwin) (382),,22/01/10,44,,
Maribyrnong IDC (70),,22/01/10,40,11,
Perth IDC (27),,22/01/10,33,2,
Christmas Island IDC (400),,22/01/10,1352,,
Sydney Immigration Residential Housing (34),,22/01/10,14,5,1
Perth Immigration Residential Housing (11),,22/01/10,5,2,5
Brisbane Immigration Transit Accommodation (29),,22/01/10,,1,19
"Melbourne Immigration Transit Accommodation
(30)",,22/01/10,4,,27
Community Detention 2 (Mainland),,22/01/10,11,1,6
Community Detention (Christmas Island),,22/01/10,3,2,3
"Alternative Temporary Detention in the Community
3 (Mainland)",,22/01/10,21,2,17
"Alternative Temporary Detention in the Community
(Christmas Island)",,22/01/10,119,57,100
,,,,,
Villawood IDC (358),,8/01/10,121,16,
Northern IDC (Darwin) (382),,8/01/10,29,,
Maribyrnong IDC (70),,8/01/10,26,4,
Perth IDC (27),,8/01/10,28,2,
Christmas Island IDC (400),,8/01/10,1362,,
Sydney Immigration Residential Housing (34),,8/01/10,14,3,1
Perth Immigration Residential Housing (11),,8/01/10,8,,2
Brisbane Immigration Transit Accommodation  (29),,8/01/10,7,3,
"Melbourne Immigration Transit Accommodation
(30)",,8/01/10,4,,32
Community Detention 2 (Mainland),,8/01/10,11,1,6
Community Detention (Christmas Island),,8/01/10,3,2,3
"Alternative Temporary Detention in the Community
3 (Mainland)",,8/01/10,18,1,10
"Alternative Temporary Detention in the Community
(Christmas Island)",,8/01/10,122,48,108
