id,type,severity,date,facility,description,location
1-5L0KSL,Birth of a child,Minor,4/01/11,Perth IRH,Client s. 47F(1) gave birth to a baby boy ay King Edward Hospital.,King Edward Memorial Hospital,
1-5L0KV0,Disturbance - Minor,Minor,4/01/11,Curtin IDC,Code black initiated to ECHO Compound,ECHO Compound CIDC,
1-5KUT7K,Complaint - re Minor Incident,Minor,4/01/11,Villawood IDC,Client complaint about another client not answered within 3 days,Blaxland compound,
1-5KYQHY, Abusive/Aggressive Behaviour,Minor,4/01/11,Perth IDC,Client has become aggressive following a negative immigration decision.,Perth IDC Clients dining room and recreation room,
1-5L8VIF,Accident/Injury - Serious,Critical,4/01/11,Port Augusta IRH,s. 47F(1) ithin IHMS,"s. 47F(1) attended medical centre complaining of chest pains, nurse called ambulance immediately, client was then transported to Port Augusta Hospital for more observations.",
1-5LBJOO,Accident/Injury - Serious,Critical,4/01/11,North West Point Immigration Facility,Code Blue s. 47F(1) has minor injury after exercise in the gym,Marquee,
1-5LCUEW ,Abusive/Aggressive Behaviour,Minor,4/01/11,North West Point Immigration Facility,Client s. 47F(1)  Abusive at the medical centre,Medical Centre,
1-5KUVEX  ,Complaint - re Minor Incident,Minor,4/01/11,Northern IDC,Complaint addressed to third party,Northern IDC,
1-5KTKSD  ,Self Harm - Actual,Critical,4/01/11,Northern IDC,Client s. 47F(1) slashed his left arm -taken to hospital by ambulance,Room 27 -Darwin Airport Lodge,
1-5KT4HE,Disturbance - Minor,Minor,4/01/11,Northern IDC,Loss of server in control room.,NIDC Control,
1-5KYRQU ,Damage - Minor,Minor,4/01/11,Perth IDC,"Following a negative immigration decision, a client has picked up a microwave from the dining area and thrown it against a glass window causing the window to crack and the microwave to break.",Client Dining area,
1-5M9WKT ,Transfer to APOD,Minor,4/01/11,Northern IDC,2 x Clients transfered to NIDC from DAL,DAL,
1-5KTKQY  ,Accident/Injury - Serious,Critical,3/01/11,Curtin IDC,Client s. 47F(1) burned his right hand,"Foxtrot compound, Curtin IDC",
1-5KN66P,Accident/Injury - Serious,Critical,3/01/11,Perth IDC,"Client s. 47F(1) from Banksia APOD felt unwell, he is conscious but non- responsive, Ambulance was called, reported by CSM M.Saylor","Banksia APOD, Chalet I",
1-5KMZLV  ,Use of Force,Major,3/01/11,Villawood IDC,Client s. 47F(1) was restrained by officers and escorted up to the Murray Unit as a result of the client assaulting a staff member. Refer to Incident Report 1-5KMZGG,Blaxland,
1-5KMZGG ,Assault - Not OBH,Minor,3/01/11,Villawood IDC,Client s. 47F(1) pushed an officer into the wall,Blaxland Fishbowl area.,
1-5KT4NI,Property - Missing,Minor,3/01/11,Curtin IDC,Hair dressers scissors missing,Bravo Compound CIDC,
1-5KX5H4,Accident/Injury - Serious,Critical,3/01/11,Scherger IDC,Client s. 47F(1) attended Control Room complaining of sore nose after being hit in the face by a soccer ball,Control  Room Scherger IDC.,
1-5KM38I,Contraband found,Minor,3/01/11,North West Point Immigration Facility,While processing a parcel for client s. 47F(1) CSO Murphy discovered a screwdriver sewn into the lining of a pair of jeans.,Property office.,
1-5KMOUI,Damage - Minor,Minor,3/01/11,Northern IDC,A wayward soccer ball was kicked and a bathroom window was broken,ASTI APOD,
1-5M9AOA ,Complaint - re Minor Incident,Minor,3/01/11,North West Point Immigration Facility,Complaint s. 47F(1) currently seeking resoultion. Unresolved within 3 day timeframe,"LA IDC, Christmas Island",
1-5M9AO4  ,Complaint - re Minor Incident,Minor,3/01/11,North West Point Immigration Facility,Complaint s. 47F(1) currently seeking resoultion. Unresolved within 3 day timeframe,"LA IDC, Christmas Island",
1-5KVJ4K,Abusive/Aggressive Behaviour,Minor,3/01/11,Maribyrnong IDC,"Two clients s. 47F(1) had a verbal altercation, in regards to a room sharing issue. Issue was resolved at the scene. Attached is an officers report of the incident.","Zone A, near kitchen area.",
1-5KMOGC,Assault - Minor,Minor,3/01/11,Curtin IDC,Client s. 47F(1) assualted client s. 47F(1) at the canteen,"Canteen area, Curtin IDC",
1-5KMGLR ,Accident/Injury - Serious,Critical,3/01/11,Curtin IDC,Client s. 47F(1) was escorted to Derby Hospital for further medical assessment and treatment.,"Echo Compound, Curtin IDC",
1-5KNQE6  ,Abusive/Aggressive Behaviour,Minor,3/01/11,Gwalia Lodge,Client became aggressive to ACS staff when he only received 1 piece of chicken,Leonora APOD - Mess,
1-5KLNYI,Escape,Critical,3/01/11,Melbourne ITA,Client s. 47F(1) sighted climbing over fence of the MITA by Life Without Barriers.,Melbourne Immigration Transit Accommodation,
1-5KLAE7,Voluntary starvation (>24 hrs),Major,3/01/11,Villawood IDC,Client s. 47F(1) is on over 24 hours Voluntary Hunger Strike.,"Blaxland, Villawood IDC.",
1-5KNQJX  ,Disturbance - Minor,Minor,3/01/11,Gwalia Lodge,Power outage due to maintenance,Leonora APOD - Compound,
1-5KLOKO ,Voluntary starvation (<24 hrs),Minor,3/01/11,Christmas Island,Group of clients from s. 47F(1) on hunger strike in cabana at Phosphate hill charlie,Phosphate hill cabana,
1-5KLO2Q  ,Disturbance - Minor,Minor,3/01/11,Northern IDC,"2 x clients involved in a fight , split up by staff.",South 3,
1-5KKVJF,Complaint - re Minor Incident,Minor,3/01/11,Northern IDC,Sealed complaint  received addressed to third party.,NIDC,
1-5KKVI2,Complaint - re Minor Incident,Minor,3/01/11,Northern IDC,Four  Sealed complaints  received addressed to third party.,NIDC,
1-5KKVGQ,Self Harm - Actual,Critical,3/01/11,Northern IDC,Client s. 47F(1) self harmed by cutting inner wrist and arm on left side several times.,Darwin Airport Lodge,
1-5KJDMA  ,Birth of a child,Minor,3/01/11,Brisbane ITA,Birth of a baby Girl at Royal Brisbane Hospital,Virginia Palms Apod,
1-5KEOJX,Accident/Injury - Serious,Critical,2/01/11,Brisbane ITA,client s. 47F(1) was having contractions ambulance called taken to Royal Brisbane Hospital.,Virgiinia Palms Motel romm 72,
1-5KEDNE ,Disturbance - Major,Major,2/01/11,North West Point Immigration Facility,Major Disturbance - Between Arabic Islamic clients and Iranian non Islamic clients,Gold 2 Compound,
1-5KE53C,Abusive/Aggressive Behaviour,Minor,2/01/11,Villawood IDC,Client s. 47F(1) was aggresive abusive to kitchen staff,fowler,
1-5KEESX  ,Property - Missing,Minor,2/01/11,Perth IDC,Client Medication gone missing from his drawer,Area 1,
1-5KCRQC ,Voluntary starvation (<24 hrs),Minor,2/01/11,Villawood IDC,Client s. 47F(1) has stated he is on Voluntary Hunger Strike. ,Blaxland,
1-5KEEFX,Assault - Minor,Major,2/01/11,Perth IDC,"Client s. 47F(1) complained that client Client s. 47F(1) allegedly assaulted her by touching her thigh. Video was viewed after client s. 47F(1) made allegations, it shows client s. 47F(1) sat closed to her but did not show his hand physically touching her thigh.",PIDC Internet room,
1-5KC6MY ,Failure - IT Systems,Minor,2/01/11,Villawood IDC,North Roof Electric Fence not activating on the Computer system during fence checks.,Blaxland,
1-5KC6L1,Damage - Minor,Minor,2/01/11,Villawood IDC,Rec room window found broken.,Fowler compound.,
1-5KCND6  ,Media - Incident  of interest,Major,2/01/11,Inverbrackie APOD,,Inverbrackie APOD,
1-5KE5R6,Accident/Injury - Serious,Critical,2/01/11,Curtin IDC,Client s. 47F(1) spilled hot water on his left wrist and left leg.,Curtin IDC.,
1-5KEE5C,Abusive/Aggressive Behaviour,Minor,2/01/11,Villawood IDC,Client s. 47F(1)  was aggresive abusive to kitchen staff,Fowler Kitchen area.,
1-5KCROE,Complaint - re Minor Incident,Minor,2/01/11,Northern IDC,One complaint was received on the 29/12/2010; this has not been resolved within the required timeframe,NIDC.,
1-5KC6Q6,Complaint - re Minor Incident,Minor,2/01/11,Northern IDC,Sealed complaint received addressed to third party,NIDC,
1-5KC6OR,Complaint - re Minor Incident,Minor,2/01/11,Northern IDC,Sealed complaint received addressed to third party,NIDC,
1-5KC6M7,Complaint - re Minor Incident,Minor,2/01/11,Northern IDC,Sealed complaint received addressed to third party,NIDC,
1-5K6904,Abusive/Aggressive Behaviour,Minor,2/01/11,Villawood IDC,Client s. 47F(1) was abusive and aggressive towards staff when told to finish his telephone call.,Blaxland VIDC,
1-5K68XD,Failure - IT Systems,Minor,2/01/11,Villawood IDC,No Lighting in Westbridge Gate house or Reception Celld area,Westbridge Reception Area Villawood IDC,
1-5K68NC,Disturbance - Minor,Minor,1/01/11,Gwalia Lodge,Disturbance between s. 47F(1) and wife s. 47F(1),Leonora APOD - Outside room 117,
1-5K68MW ,Accident/Injury - Serious,Critical,1/01/11,Gwalia Lodge,Client with suspected broken right hand,Leonora APOD - Outside room 114,
1-5K68UA,Accident/Injury - Serious,Critical,1/01/11,Curtin IDC,Client s. 47F(1) transported off site to Derby Hospital.,Curtin IDC,
1-5K5GP9,Failure - IT Systems,Minor,1/01/11,Curtin IDC,Power outage affecting Curtin IDC all compounds and administration,Curtin IDC,
1-5K692E,Assault - Not OBH,Minor,1/01/11,Northern IDC,2 x clients fighting.,NIDC South 2,
1-5K4G2C,Self Harm - Threatened,Major,1/01/11,North West Point Immigration Facility,Client s. 47F(1) threatened self-harm through interpreter in White 2 compound.,White 2 Compound,
1-5K4LFD,Transfer to APOD,Minor,1/01/11,Northern IDC,Client claims to be Minor and has been moved to APOD,NIDC,
1-5K4F0A,Accident/Injury - Serious,Critical,1/01/11,Villawood IDC,Client s. 47F(1) escorted to Auburn hospital after suffering seizures.,"Fowler compound, Nepean 2A",
1-5V0BQ9,Use of Observation Rm > 24 hrs,Major,1/01/11,Villawood IDC,Client s. 47F(1) Michal has been in the observation room (Annex) for more than 24 hours.,BLAXLAND. Annex.,
1-5K4R74,Assault - Not OBH,Minor,1/01/11,Christmas Island,Client s. 47F(1) (Minor) pushed by client s. 47F(1) causing him to slip and fall.,"entry Ramp of A block, Construction Camp, Christmas Island.",
1-5K462Q,Accident/Injury - Serious,Critical,1/01/11,Brisbane ITA,Child escorted to Royal Brisbane Hospital upon advice from IHMS Triage with fever and swollen right face. Child accompanied by mother.,"BITA Centre, Brisbane",
1-5V0W8H,Complaint - re Minor Incident,Minor,1/01/11,Christmas Island,Complaint s. 47F(1) has not been resolved with in the time frame.,Phosphate Construction Camp,
1-5K3VIY,Complaint - re Minor Incident,Minor,1/01/11,Northern IDC,Sealed complaint  received addressed to third party,NIDC,
1-5K3VHJ,Complaint - re Minor Incident,Minor,1/01/11,Northern IDC,Sealed complaint  received addressed to third party.,NIDC,
1-5K3VGP,Complaint - re Minor Incident,Minor,1/01/11,Northern IDC,Sealed complaint received addressed to third party,NIDC,
1-5K3VFK,Complaint - re Minor Incident,Minor,1/01/11,Northern IDC,Sealed complaint received addressed to third party,NIDC,
1-5K3VQF,Escape,Critical,1/01/11,Villawood IDC,3 clients escaped from Dorm 2 Blaxland by accessing through the roof of their rooms and jumped over the fence on the top of T&E building.,Blaxland Dorm 2,
1-5UTBZY,Accident/Injury - Serious,Critical,1/01/11,Villawood IDC,Client s. 47F(1) was taken to Liverpool Hospital via an ambulance (825) due to severe chest pains.,"Fowler compound, Macquarie 6B",
1-5JWVRU ,Escape,Critical,31/12/10,Maribyrnong IDC,A client believed to b s. 47F(1) escaped from MIDC by scaling a fence in Zone 5 of the grassed area using a bedsheet.,"Zone 5 Grassed area, MIDC.",
1-5JXGBK,Escape,Critical,31/12/10,Northern IDC,3 x clients escaped detention.,ASTI Motel Darwin,
1-5JX0Z2,Failure - IT Systems,Minor,31/12/10,Villawood IDC,Portable light generator - external foxtrot post 5 will not start,External foxtrot post 5 - back corner of Fowler,
1-5JXG7P,Self Harm - Actual,Critical,31/12/10,North West Point Immigration Facility,Client s. 47F(1) self harmed by cutting neck and wrists.,Lilac compound block F room 13,
1-5K35U9,Assault - Not OBH,Minor,31/12/10,Inverbrackie APOD,Female Client punched another female client in the face,Inverbrackie Playgroup centre,
1-5KJDP3,Abusive/Aggressive Behaviour,Minor,31/12/10,Gwalia Lodge,Client became aggressive towards officers when asked to finish on the computer.,Leonora APOD - Rec Room,
1-5JX0SN,Disturbance - Minor,Minor,31/12/10,Northern IDC,"Clients damaged drink fountain in compound, broken several chairs and insightning other members in the compound. Clients were relocated to North 3.",South 3,
1-5JX0NO,Self Harm - Actual,Critical,31/12/10,North West Point Immigration Facility,Clients. 47F(1) sighted by Op Mgr L Jackson to have self inflicted wound to L bicep,White 2 compound,
1-5JV0KN,Failure - IT Systems,Minor,31/12/10,Melbourne ITA  ,Loss of power and communications at MITA at 1530 hrs. More information from MITA team leader will follow as it becomes available.,MITA,
1-5JWV4K  ,Accident/Injury - Serious,Critical,31/12/10,Gwalia Lodge,Client conveyed to Leonora Hospital on advice from IHMS,IHMS Leonora APOD,
1-5JVU91,Accident/Injury - Serious,Critical,31/12/10,Villawood IDC,Client s. 47F(1) taken to Liverpool Hospital with chest pains.,Stage.2 Medical Centre,
1-5JWP30,Weapon - Client in possession,Major,31/12/10,Christmas Island,Client handed a knife to CSM Burdon in K block Phosphate Construction Camp,K block Phosphate Construction Camp; Christmas Island,
1-5JV7V6,Damage - Minor,Minor,31/12/10,Gwalia Lodge,Officer conducting room clearance of room 102 discovered that the departing clients had thrown food and rubbish all over the floor,Room 102 Leonora APOD,
1-5JM9SK,Self Harm - Actual,Critical,31/12/10,North West Point Immigration Facility,,"Lilac compound, LA IDC",
1-5K3VT6,Failure - IT Systems,Minor,30/12/10,Scherger IDC,All computer systems in Scherger IDC were down due to unknown technical reasons. It system was down for approximately 29 hours.  Restored at 07:30hrs. on Saturday 1 January.,Scherger IDC,
1-5JMCCZ  ,Removal - Aborted,Major,30/12/10,Villawood IDC,DIAC  advised T&E staff Client s. 47F(1) Submitted a P.V . flight Aborted,HUGHES,
1-5KX1YT,Damage - Minor,Minor,30/12/10,Perth IDC,Damage cased to Pool Table after drink was spilled on it by client,Banksia Tourist Park (APOD),
1-5JMYJK,Failure - IT Systems,Minor,30/12/10,Curtin IDC,Power outage in Echo and Foxtrot compounds at Curtin IDC.,Echo and Foxtrot compounds Curtin IDC,
1-5JL2U8,Use of Observation Rm > 24 hrs,Major,30/12/10,Villawood IDC,Client s. 47F(1) has been in the Annex unit for over 24 hours.,"Villawood IDC, Blaxland, Annex.",
1-5JL3BK,Transfer to APOD,Minor,30/12/10,Curtin IDC,Client transferred to King Sound Hotet due to his age,CIDC,
1-5JL6XA,Damage - Minor,Minor,30/12/10,Gwalia Lodge,A large tree branch fell onto unoccupied dongas causing minor damage.,Charlie 1 compound Leonora APOD near the mess,
1-5JKDQG ,Accident/Injury - Serious,Critical,30/12/10,Gwalia Lodge,Client taken to Leonora Hospital on advice from IHMS Staff at Leonora APOD. Client Admitted for further treatment.,IHMS Leonora APOD,
1-5JKDXY,Self Harm - Actual,Critical,30/12/10,North West Point Immigration Facility,s. 47F(1) Actual self harm - superficial cuts to arms.,Lilac G block,
1-5JMCDE ,Disturbance - Minor,Minor,30/12/10,Perth IRH,2 clients were involved in an argument.,Patio area between house 1 and 2,
1-5JL38W,Self Harm - Actual,Critical,30/12/10,North West Point Immigration Facility,Client s. 47F(1) Self harmed by lacerating R side of Throat x 2. outside White 2 compound,White 2 Compound (outside roller door),
1-5JKDNY,Contraband found,Minor,30/12/10,North West Point Immigration Facility,After receiving information from a client a search was conducted of F Block Aqua Compound and a bucket of what appears to be fermented fruit and fluid was located under the donga.,F Block Aqua Compound,
1-5JJ5F8,Escape - Attempted,Major,30/12/10,Christmas Island,CSM Welk recieved information from clients in Phosphate Bravo that client s. 47F(1) had climbed the fence and entered the surrounding vegatation.Head count being conducted the determine if this is a fact,Phosphate Bravo,
1-5JDCWJ  ,Accident/Injury - Serious,Critical,30/12/10,Sydney IRH,Client appears to have injured himself by hitting his head  on the wall of the garage.,Sydney IRH Unit 1,
1-5JL3A7,Complaint - re Minor Incident,Minor,30/12/10,Northern IDC,Complaint received addressed to third party.,Northern IDC,
1-5JIBT2,Removal - Aborted,Major,30/12/10,Brisbane ITA,Client was being removed at Brisbane Airport however has applied for protection Visa.  Client being moved to VIDC,Brisbane International Airport,
1-5J5Q7A,Escape - Attempted,Major,30/12/10,Christmas Island,At 0120hrs a client reported three unknown clients climbing out over the fence of Construction Camp.,"Fenceline behind A Block, Construction Camp.",
1-5JWP76,Accident/Injury - Serious,Critical,30/12/10,North West Point Immigration Facility,Client s. 47F(1) sustains burns from hot water,Blue 2,
1-5J62VG,Abusive/Aggressive Behaviour,Minor,30/12/10,Northern IDC,CSO had a verbal altercation with a client,Darwin Airport Lodge room 38,
1-5JBP5E,Abusive/Aggressive Behaviour,Minor,29/12/10,Northern IDC,Female client claims to be harrassed by UAM male.,Darwin Airport Lodge,
1-5JC858,Abusive/Aggressive Behaviour,Minor,29/12/10,Northern IDC,"Group s. 47F(1) ercation at DELTA block, One client restrained and one removed from scene.",Darwin airport Lodge.,
1-5JJ5DO,Transfer to APOD,Minor,29/12/10,Scherger IDC,Client s. 47F(1) was transferred to APOD Weipa Hospital from  Scherger IDC as requested by IHMS.,Weipa Hospital,
1-5JF2EF,Accident/Injury - Serious,Critical,29/12/10,Scherger IDC,Clien s. 47F(1) was transferred to Weipa Hospital for further medical assessments as requested by IHMS.,Weipa Hospital,
1-5JBOU7,Assault - Minor,Major,29/12/10,Northern IDC,Small group of clients have altercation at  E Block Telephone area.,Darwin Airport Lodge,
1-5J62M1,Assault - Minor,Minor,29/12/10,North West Point Immigration Facility,Client s. 47F(1) physical altercation with clients s. 47F(1) and s. 47F(1),"White 1 Compound, NWP, Christmas Island.",
1-5J5PL5,Disturbance - Minor,Minor,29/12/10,Northern IDC,Altercation between clients.,South 3,
1-5JBOMS ,Abusive/Aggressive Behaviour,Minor,29/12/10,Villawood IDC,Client s. 47F(1) was abusive towards Nurse & threw a cup of water on the widonw screen,Blaxland,
1-5J5L3Q,Abusive/Aggressive Behaviour,Minor,29/12/10,Villawood IDC,Client s. 47F(1) was abusive towards nurse & thew a cup of water on screen.,"Villawood IDC, Blaxland.",
1-5JF03C,Accident/Injury - Serious,Critical,29/12/10,North West Point Immigration Facility,Client s. 47F(1) sustained a laceration to his left knee by falling onto the ground.  Submitted entered into Portal at 0930hr CI time. ,Outside kitchen area Aqua Compound,
1-5JDCFJ,Transfer to APOD,Minor,29/12/10,Scherger IDC,Client s. 47F(1) was transferred to APOD Mantra Apartments Cairns from SCHERGER IDC until his medical appointment  on 30/12/10 at 0830hrs Cairns Hospital.,Mantra Apartments Cairns,
1-5J5PGO,Accident/Injury - Serious,Critical,29/12/10,Gwalia Lodge,"Client 7 weeks pregnant , complaining of stomach pains & bleeding. Advised by IHMS triage to escort Client to Leonora Hospital. Client admitted overnight for observation.",Charlie 1 office Leonora APOD,
1-5J5L41,Accident/Injury - Serious,Critical,29/12/10,Port Augusta IRH,"s. 47F(1)playing pool in recreation room, client s. 47F(1) alerted CSM Austin and upon appraoch s. 47F(1) was  feeling dizzy, sweating and heavy breathing, called IHMS nurse immediately and called ambulance",s. 47F(1) and transferred to Port Augusta Hospital for more checks.,
1-5J5PMI,Voluntary starvation (<24 hrs),Minor,29/12/10,Christmas Island,"Voluntary starvation. client has been taking meals, yet stated she had not eaten in 5 days.","Room D08, Charlie Compound, Phosphate Hill.",
1-5J5PR7,Self Harm - Threatened,Major,29/12/10,North West Point Immigration Facility,Client s. 47F(1) hreatens to self harm,Gold 2 Common area,
1-5J5LB9,Self Harm - Threatened,Major,29/12/10,North West Point Immigration Facility,Client s. 47F(1) Threatens Self Harm,Visits,
1-5J54OW  ,Contraband found,Minor,29/12/10,Northern IDC,alcohol passed over the fence of detention facility,A Block Darwin Airport Lodge,
1-5J4U2Y,Assault - Not OBH,Minor,29/12/10,Northern IDC,An altercation between two clients,South 2 Mess,
1-5J57OP,Use of Force,Major,29/12/10,North West Point Immigration Facility,Clients. 47F(1) Restrained after an aggressive outburst during negative hand down,Interview 2 Room 4,
1-5JUH6G,Accident/Injury - Serious,Critical,29/12/10,Maribyrnong IDC,"This report is being generated by CSM Tim Byrne, though contractually this is not a reportable incident, given that the client had emergency surgery, it was decided that a report will be generated.",MIDC to Western Genreal Hospital,
1-5J4UHM  ,Self Harm - Actual,Critical,29/12/10,North West Point Immigration Facility,Client s. 47F(1) Self Harms During Negative IMP Hand Down,Interview 2 Room 4,
1-5J5L2D,Accident/Injury - Serious,Critical,29/12/10,Curtin IDC,Client s. 47F(1) as sick  and needed medical attention in his room in Bravo compound.,"Room 49, Bravo Compound; CIDC.",
1-5J3ORG  ,Accident/Injury - Serious,Critical,29/12/10,Gwalia Lodge,Client taken to leonora hospital by Ambulance with a suspected athsma attack.,IHMS building Leonora APOD,
1-5JC84G,Accident/Injury - Serious,Critical,29/12/10,Brisbane ITA,Client admitted to hospital for tests due to difficult pregnancy issues.,Royal Brisbane Womens Hospital,
1-5J3N3H,Complaint - re Minor Incident,Minor,29/12/10,Northern IDC,Three sealed complaints received addressed to third party,Northern IDC,
1-5J3CTR,Failure - IT Systems,Minor,29/12/10,Sydney IRH,Water leaking from drain near the childrens playgorund,Sydney IRH Play ground area,
1-5J3CML,Self Harm - Actual,Critical,29/12/10,Northern IDC,Client self harmed with razor blade cutting left wrist area,Darwin Air Port Lodge,
1-5IXSW9,Abusive/Aggressive Behaviour,Minor,28/12/10,Villawood IDC,"Client s. 47F(1) was abusive and aggresive, and threatening towards staff. Client was transferred to Murray Unit approximately 2330hrs",ANNEX - BLAXLAND VILLAWOOD IDC.,
1-5IXSYA,Voluntary starvation (<24 hrs),Minor,28/12/10,Northern IDC,Client has missed three meals.,North 1,
1-5IWSF6,Accident/Injury - Serious,Critical,28/12/10,Villawood IDC,Blaxland Client s. 47F(1) was escorted to Fairfield Hospital for medical treatment as per Triage on call,Blaxland,
1-5J5PLQ,Damage - Minor,Minor,28/12/10,Northern IDC,Window broken while clients were playing with a ball.,Asti Motel,
1-5IX5ZI,Abusive/Aggressive Behaviour,Minor,28/12/10,Villawood IDC,Client s. 47F(1) became abusive towards kitchen staff in Fowler mess.,Fowler mess.,
1-5IWP05,Property - Missing,Minor,28/12/10,Melbourne ITA,card swipe was missing in car park,MIta North car park Hospitalty card,
1-5IWEJQ,Notification by Welfare Auth,Major,28/12/10,Maribyrnong IDC,"fire alarm went off at 1300,MFB attended at 1305,found to be false alarm caused by client smoking in his room. MFB leave site at  1325","Zone C,room C4,client s. 47F(1)",
1-5IW1HO,Assault - Minor,Major,28/12/10,North West Point Immigration Facility,Client s. 47F(1) of white compound. claimed a Srilankan client committed an indecent act on him by kissing him on the cheek and notified Serco for a formal complaint.,"white 1, NWP Christmas Island.",
1-5IQ0II,Accident/Injury - Serious,Critical,28/12/10,Villawood IDC,Fowler Client taken to Auburn Hospital on ad vice from Triage on call Client s. 47F(1),VIDC Fowler Compound,
1-5IQD48,Disturbance - Minor,Minor,27/12/10,Northern IDC,Power failure,North1,
1-5IQ5LE,Voluntary starvation (>24 hrs),Major,27/12/10,Northern IDC,Client hasnt been sighted eating six meals.,North1,
1-5IQ5I4,Voluntary  Starvation - End of,Minor,27/12/10,Northern IDC,Client has eaten three consecutive meals.,North1,
1-5IQ5H8,Voluntary starvation (<24 hrs),Minor,27/12/10,Northern IDC,Client hasnt been eating due to illness.,South 1,
1-5IQ5LY,Damage - Minor,Minor,27/12/10,Villawood IDC,Clients engaging a game of soccer when ball kicked damaged the window Hastings 5,VIDC Hughes compound,
1-5IPYYS,Failure - IT Systems,Minor,27/12/10,Perth IDC,PIRH Power and phone outage at 1443 local time.,"PIRH, 97-99 Kanowna Ave, Redcliffe.",
1-5IPYGG,Voluntary starvation (<24 hrs),Minor,27/12/10,Curtin IDC,Client has not attended the mess since the 23rd December.,Delta compound,
1-5IPFUQ,Media - Unauthorised presence,Critical,27/12/10,Inverbrackie APOD,Channel 7 media taking footage of centre,Inverbrackie APOD,
1-5J3W3O  ,Disturbance - Minor,Minor,27/12/10,Brisbane ITA,Clients arguing,B Block,
1-5IQ0UV,Accident/Injury - Serious,Critical,27/12/10,Brisbane ITA,Client tranmsported to hospital by ambulance following examination by nurse. Suspected panic attack,BITA - B1,
1-5IP9UB,Complaint - re Minor Incident,Minor,27/12/10,Villawood IDC,Complaint not finalised within 3 days,"Fowler compound, Villawood IDC",
1-5IPHFE,Accident/Injury - Serious,Critical,27/12/10,Curtin IDC,Code Blue initiated by compound staff in Delta compound,Delta compound  CIDC,
1-5IPI3D,Accident/Injury - Serious,Critical,27/12/10,Scherger IDC,CSO Regina SMOKER dislocated her left thumb inside Property Office Store room when a box of clothing fell on her left  thumb while moving boxes around in store room.,Scherger IDC Property Office store room,
1-5J3D9W,Accident/Injury - Serious,Critical,27/12/10,Inverbrackie APOD,Officer rolled ankle on uneven ground,Inverbrackie,
1-5IQ5IP,Voluntary starvation (<24 hrs),Minor,26/12/10,Northern IDC,Client stated he is on Voulantary Starvation,North 1,
1-5IP44G,Abusive/Aggressive Behaviour,Minor,26/12/10,Curtin IDC,Client s. 47F(1) became abusive towards staff.,Delta Room 40,
1-5IJDBJ,Failure - IT Systems,Minor,26/12/10,Curtin IDC,Power failure in the entire Emu Compound.,"Emu Compound, Curtin IDC.",
1-5IPLH6,Assault - Minor,Major,26/12/10,Inverbrackie APOD,Domestic dispute resulted in family members being struck,Inverbrackie APOD House 118,
1-5J3HZD,Disturbance - Minor,Minor,26/12/10,Brisbane ITA,Clients arguing amongst each other,B Block,
1-5IWK0Y,Abusive/Aggressive Behaviour,Minor,26/12/10,North West Point Immigration Facility,1505hrs  Threatening behaviour by s. 47F(1) towards officer  1700hrs Abusive and aggressive behaviour by s. 47F(1) failure to comply with standard meal issue routine.,1505hrs near conpound Officer Station; 1700hrs entry to mess hall,
1-5IPG46,Abusive/Aggressive Behaviour,Minor,26/12/10,North West Point Immigration Facility,On even date s. 47F(1) did not observe the meal issueing routine for Aqua compound and came to the mess hall entry point with out queing. After conversing with CSM Hartley he was allowed to be served his meal.,Mess Hall Aqua Compound,
1-5IIN6M,Assault - Serious,Critical,26/12/10,North West Point Immigration Facility,Client s. 47F(1) alleges sexual harrassment by unknown as yet clients from Education 3 compound,Education 3 - NWP,
1-5IHLOY,Voluntary starvation (>24 hrs),Major,26/12/10,Northern IDC,Client refusing to eat.,North 1,
1-5IP3VW,Accident/Injury - Serious,Critical,26/12/10,Curtin IDC,Officer slipped in small hole. Sand and dust entered eye.,Delta Compound CIDC,
1-5IHS3J,Failure - IT Systems,Minor,26/12/10,Villawood IDC,Zone 17 Blaxland fence alarm not working,Blaxland VIDC,
1-64NHEV  ,Complaint Unresolved in time,Minor,26/12/10,Lilac Aqua,"Complaint s. 47F(1) for client s. 47F(1)was not resolved within 3 days. Complaint regarding bad tasting food, discrimination with transfers, lack of things to do, cleanliness of toilets and bathroom and insufficient microwaves for number of people.",Aqua,
1-5IP416,Accident/Injury - Serious,Critical,26/12/10,Curtin IDC,Serco officer slipped on loose gravel.,Charlie--Bravo officer stations.,
1-5IHF6E,Failure - Security System,Major,26/12/10,Villawood IDC,Keys i-10 charlie 4 night keys not on premises,VIDC Westbridge Control Room,
1-5IBL04,Accident/Injury - Serious,Critical,26/12/10,Villawood IDC,clien s. 47F(1) complained of chest pains to the officer in the Fowler compound at approximately 00 30 hrs.,Fowler,
1-5IHENM,Disturbance - Minor,Minor,26/12/10,North West Point Immigration Facility,Clients s. 47F(1) both filled out complaint forms on one another claiming one assaulted the other.,"Marquee Compound, TV Room, NWP, Christmas Island.",
1-5II1IU,Escape - Attempted,Major,25/12/10,Brisbane ITA,Client s. 47F(1) attempted to escape from Aeprolodge Motel Hamilton (Brisbane) at 2330 hrs on 25/12/10 by climbing 1.8 metre fence at no time was he out of sight staff. He was escorted back to his rrom and n furhter problems occurred.,Aerolodge hotel Kingston Smith Drive Hamilton,
